Country,Indicator_x,Unit_Measure(T),Pesticide_Type,Year,Tonnes,Indicator_y,Unit_Measure(kg/ha),Kg_per_ha
Zimbabwe,Pesticides Agricultural Use,Tonnes,Pesticides (total),1992,1919.0,Pesticides Use per area of cropland,Kilogram per hectare,1.16
Angola,Pesticides Agricultural Use,Tonnes,Insecticides,1993,153.0,Pesticides Use per area of cropland,Kilogram per hectare,0.05
Angola,Pesticides Agricultural Use,Tonnes,Herbicides,1993,1.0,Pesticides Use per area of cropland,Kilogram per hectare,0.05
Angola,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,13.0,Pesticides Use per area of cropland,Kilogram per hectare,0.05
Angola,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,167.0,Pesticides Use per area of cropland,Kilogram per hectare,0.049999999999999996
Botswana,Pesticides Agricultural Use,Tonnes,Insecticides,1993,193.0,Pesticides Use per area of cropland,Kilogram per hectare,0.73
Botswana,Pesticides Agricultural Use,Tonnes,Herbicides,1993,44.0,Pesticides Use per area of cropland,Kilogram per hectare,0.73
Botswana,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,15.0,Pesticides Use per area of cropland,Kilogram per hectare,0.73
Botswana,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,252.0,Pesticides Use per area of cropland,Kilogram per hectare,0.7299999999999999
Lesotho,Pesticides Agricultural Use,Tonnes,Insecticides,1993,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Herbicides,1993,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Mozambique,Pesticides Agricultural Use,Tonnes,Insecticides,1993,27.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Herbicides,1993,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,22.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,52.0,Pesticides Use per area of cropland,Kilogram per hectare,0.029999999999999995
Malawi,Pesticides Agricultural Use,Tonnes,Insecticides,1993,82.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Herbicides,1993,51.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,133.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Namibia,Pesticides Agricultural Use,Tonnes,Insecticides,1993,88.0,Pesticides Use per area of cropland,Kilogram per hectare,0.82
Namibia,Pesticides Agricultural Use,Tonnes,Herbicides,1993,174.0,Pesticides Use per area of cropland,Kilogram per hectare,0.82
Namibia,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,193.0,Pesticides Use per area of cropland,Kilogram per hectare,0.82
Namibia,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,455.0,Pesticides Use per area of cropland,Kilogram per hectare,0.82
Eswatini,Pesticides Agricultural Use,Tonnes,Insecticides,1993,282.0,Pesticides Use per area of cropland,Kilogram per hectare,3.9
Eswatini,Pesticides Agricultural Use,Tonnes,Herbicides,1993,171.0,Pesticides Use per area of cropland,Kilogram per hectare,3.9
Eswatini,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,210.0,Pesticides Use per area of cropland,Kilogram per hectare,3.9
Eswatini,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,663.0,Pesticides Use per area of cropland,Kilogram per hectare,3.9
South Africa,Pesticides Agricultural Use,Tonnes,Insecticides,1993,4213.0,Pesticides Use per area of cropland,Kilogram per hectare,1.21
South Africa,Pesticides Agricultural Use,Tonnes,Herbicides,1993,7495.0,Pesticides Use per area of cropland,Kilogram per hectare,1.21
South Africa,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,3705.0,Pesticides Use per area of cropland,Kilogram per hectare,1.21
South Africa,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,15413.0,Pesticides Use per area of cropland,Kilogram per hectare,1.21
Zambia,Pesticides Agricultural Use,Tonnes,Insecticides,1993,427.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zambia,Pesticides Agricultural Use,Tonnes,Herbicides,1993,340.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zambia,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,62.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zambia,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,829.0,Pesticides Use per area of cropland,Kilogram per hectare,0.39
Zimbabwe,Pesticides Agricultural Use,Tonnes,Insecticides,1993,681.0,Pesticides Use per area of cropland,Kilogram per hectare,0.58
Zimbabwe,Pesticides Agricultural Use,Tonnes,Herbicides,1993,785.0,Pesticides Use per area of cropland,Kilogram per hectare,0.58
Zimbabwe,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1993,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.58
Zimbabwe,Pesticides Agricultural Use,Tonnes,Pesticides (total),1993,1466.0,Pesticides Use per area of cropland,Kilogram per hectare,0.58
Angola,Pesticides Agricultural Use,Tonnes,Insecticides,1994,22.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
